date,recentSnow,recentWindLoading,highTemp,criricalLoading,criticalWindLoading,slabAvalanche,psp,uac
12/1/2019,1,1,20,0,0,1,1,4
12/2/2019,1,1,30,0,1,1,1,3
12/3/2019,0,1,30,0,0,1,1,3
12/4/2019,0,1,20,0,0,1,1,3
12/5/2019,0,1,20,0,0,0,1,3
12/6/2019,0,0,20,0,0,1,1,3
12/7/2019,0,1,30,0,1,1,1,3
12/8/2019,0,1,20,0,1,1,1,3
12/9/2019,1,1,20,0,0,1,1,3
12/10/2019,1,0,30,0,0,1,1,3
12/11/2019,0,0,20,0,0,0,1,3
12/12/2019,0,0,20,0,1,0,1,3
12/13/2019,1,1,20,1,1,0,1,4
12/14/2019,1,1,20,1,1,1,1,4
12/15/2019,1,1,10,0,0,1,1,3
12/16/2019,1,0,20,0,0,1,1,3
12/17/2019,0,0,20,0,0,1,1,3
12/18/2019,0,0,20,0,0,0,1,3
12/19/2019,0,1,10,0,0,0,1,2
12/20/2019,0,1,20,0,0,0,1,2
12/21/2019,0,1,30,0,1,0,1,2
12/22/2019,0,1,30,0,1,0,1,2
12/23/2019,0,1,20,0,1,1,1,2
12/24/2019,0,1,20,0,1,0,1,2
12/25/2019,0,0,20,0,0,0,1,2
12/26/2019,0,0,10,0,0,1,1,2
12/27/2019,0,0,10,0,0,1,1,2
12/28/2019,0,1,0,0,1,1,1,2
12/29/2019,0,1,0,0,1,1,1,2
12/30/2019,0,0,20,0,0,1,1,2
12/31/2019,0,0,20,0,0,0,1,1
1/1/2020,0,0,20,1,1,1,1,4
1/2/2020,1,1,25,0,1,1,1,4
1/3/2020,1,1,30,0,1,1,1,3
1/4/2020,0,1,20,0,1,1,1,3
1/5/2020,0,1,20,0,1,1,1,3
1/6/2020,0,1,20,0,1,1,1,3
1/7/2020,0,0,20,0,1,0,1,2
1/8/2020,0,1,30,0,1,1,1,2
1/9/2020,1,0,20,0,1,1,1,3
1/10/2020,1,0,10,0,0,0,1,3
1/11/2020,0,1,10,1,0,1,1,3
1/12/2020,1,0,10,1,0,1,1,3
1/13/2020,0,0,10,0,1,1,1,4
1/14/2020,0,1,20,0,1,1,1,3
1/15/2020,0,1,10,0,1,1,1,3
1/16/2020,0,1,25,1,1,1,1,3
1/17/2020,0,1,20,1,1,1,1,3
1/18/2020,1,0,10,0,0,1,1,3
1/19/2020,0,0,10,0,0,1,1,2
1/20/2020,0,1,30,0,1,1,1,2
1/21/2020,0,1,30,0,0,0,1,1
1/22/2020,0,1,30,0,1,1,1,2
1/23/2020,1,1,30,0,0,1,1,2
1/24/2020,1,0,20,0,0,1,1,2
1/25/2020,0,0,30,0,1,1,0,1
1/26/2020,0,1,25,0,0,1,0,1
1/27/2020,0,1,45,0,1,1,0,3
1/28/2020,1,1,20,0,1,1,0,2
1/29/2020,0,1,10,0,0,1,0,2
1/30/2020,0,0,20,0,0,1,0,2
1/31/2020,0,1,30,0,1,1,0,2
